instruction,input,output
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"SlideCoin is an Android app that allows you to earn bitcoin from your phone...please download app Slide Coin, open with code DUB879",Neutral
Detect the sentiment of the tweet.,Getting real tired of Bitcoin's bipolar bitch ass. $BTC,Negative
Detect the sentiment of the tweet.,@JohnTitusRenzi2 Not at $2999 before Bitcoin miners drive it up to $9999,Neutral
Detect the sentiment of the tweet.,"Friday 23/3/2018 I dont care who your are where your from retracement on Bitcoin=low  8,341.28",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@BDubbJr He got SUPER into bitcoin. He came back and started doing reviews,Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,Gonna wake up and buy an undisclosed (that means secret but dont worry it's not a lot) amount of bitcoin in the morning.,Negative
Detect the sentiment of the tweet.,Looks like #bitcoin is forming an upsidedown Donald Trump!,Neutral
Detect the sentiment of the tweet.,@JanKasparecArt @KeanuReeves_USA Nice work Broski! next up....Buddah n Bitcoin? ;),Positive
Detect the sentiment of the tweet.,"Fri Mar 23 03:25:18 2018 (15:27)
USD : 8421.41
Wght: 0.42
Blk#: 514750
Size: 820.7 KB
TXs:  1670
Pool: 112 (0.0 MB)
@dellisny
#bitcoin",Neutral
Detect the sentiment of the tweet.,"Friday 23/3/2018 Low for Bitcoin done on this song=As Long As You Love Me, Backstreet Boys",Positive
Detect the sentiment of the tweet.,New #bitcoin block 0000000000000000000d7d77781d4eb0bacfaca1af23caf7e476b26375829499 mined at height 514750.,Positive
Detect the sentiment of the tweet.,"#bitcoin Do not worry, the great Sal told us that 9k is the absolute and final bottom. It can never go under 9k!",Positive
Detect the sentiment of the tweet.,"1c4433fe7d5b80456690cd24b3294236d359899753146d6bb54b880621f1a9e3/1
says: Moving Mbit!
#opreturn #bitcoin",Neutral
Detect the sentiment of the tweet.,"403bccf9c8dd5e8452ba51a90801130c65b59174d2b950355d6cbe8d6dd0ca25/1
says: Moving Mbit!
#opreturn #bitcoin",Neutral
Detect the sentiment of the tweet.,"$BTC broke down $8600. Lookin for a hard bounce from 8400, or $7300 is in play. #bitcoin",Negative
Detect the sentiment of the tweet.,2008. The world was falling apart. 2018 the world is still falling apart. Care to predict what bitcoin’s role will be?,Neutral
Detect the sentiment of the tweet.,@MacroScope17 Complete mass manipulation. Without it bitcoin would be nowhere.,Positive
Detect the sentiment of the tweet.,If dow crashes be ready.... #bitcoin,Positive
Detect the sentiment of the tweet.,"Two consecutive lower highs and lower lows.
We're in a downtrend again.
#bitcoin",Neutral
Detect the sentiment of the tweet.,"I just dropped a Bitcoin into the ""Feel Better Otis"" boot. #ChicagoFire",Positive
Detect the sentiment of the tweet.,"BTC-BAT AskRate: 0.00002380 #Bittrex  #BAT $BAT #Basic Attention Token #altcoin #bitcoin #cryptocurrency
 ♥ FOLLOW for PROFIT",Positive
Detect the sentiment of the tweet.,"1 bitcoin = $8514.08 / 6910.453€
1 bitcoin-cash = $979.052 / 794.647€
1 ethereum = $521.758 / 423.484€
#bitcoin #ethereum #bitcoincash",Neutral
Detect the sentiment of the tweet.,One Bitcoin now worth $8428.79@bitstamp. High $9099.590. Low $8377.290. Market Cap $142.720 Billion #bitcoin,Positive
Detect the sentiment of the tweet.,"Bitcoin:$8514.08
Ethereum:$525.827
Bitcoin Cash:$979.052
Litecoin:$158.993
Ripple:$0.637571
IOTA:$1.2709",Neutral
Detect the sentiment of the tweet.,"Bitcoin:$8514.08
Ethereum:$525.827
Bitcoin Cash:$979.052
Litecoin:$158.993
Ripple:$0.637571
IOTA:$1.2709",Neutral
Detect the sentiment of the tweet.,#SUB Price is 0.00004714 (-0.00000140) #BTC / 0.39587 (-0.02144) #USD. Market rank is 115. #substratum #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#ADA Price is 0.00002267 (+0.00000001) #BTC / 0.190338 (-0.00454) #USD. Market rank is 6. #cardano #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#DASH Price is 0.0473071 (+0.00007240) #BTC / 401.192 (-5.08800) #USD. Market rank is 12. #dash #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#XEM Price is 0.00003342 (-0.00000032) #BTC / 0.280647 (-0.00944) #USD. Market rank is 13. #nem #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#EOS Price is 0.00077814 (-0.00000636) #BTC / 6.53418 (-0.21354) #USD. Market rank is 7. #eos #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,@michaelbatnick What is bitcoin ? Niagra falls ?,Neutral
Detect the sentiment of the tweet.,@crypto_lily @MichaelSuppo @boxmining @TheCryptoZombie @CryptoLeung Correction: Not Bitcoin Brothers but instead it's Crypto-Bit Brothers,Neutral
Detect the sentiment of the tweet.,"Hello humans, #Bitcoin is currently around $8477.23 as of Thu Mar 22 21:31:10 CDT 2018",Neutral
Detect the sentiment of the tweet.,Bitcoin value: $8450.66,Neutral
Detect the sentiment of the tweet.,"#Bitcoin is testing the support zone 🧐
If this support zone is broke then next support is around $8k 🤓
#btc #trading #cryptotrading#crypto",Neutral
Detect the sentiment of the tweet.,@Marc_Brownstein Did he tell you about bitcoin?,Neutral
Detect the sentiment of the tweet.,@shitposterchild @cryptostardust Corn is short for Bitcorn is slang for Bitcoin,Neutral
Detect the sentiment of the tweet.,"@Blockchair @ivivekkm @nikzh @linuxi0n @Sachi_Miura #Bitcoin has future, #Bcash doesn't",Neutral
Detect the sentiment of the tweet.,"woah big drop on #btc #bitcoin just now 8300 range #binance

#altcoin",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@khunFYP @btc_manager maybe because you're hysterical when someone calls bitcoin cash a scam,Negative
Detect the sentiment of the tweet.,"@movementsjpg I wish I could but I have my money tied up in bitcoin and my future, sis. I’m sorry. I hope you fine another way 🤙🏽",Negative
Detect the sentiment of the tweet.,Why does everyone who likes bitcoin look like a gym teacher that takes it too seriously?,Negative
Detect the sentiment of the tweet.,Bitcoin was a good investment while it lasted,Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@CryptoLeung So when inflation happens people will have no choice to turn to Bitcoin😎,Neutral
Detect the sentiment of the tweet.,"Fri Mar 23 03:36:21 2018 (11:03)
USD : 8411.70
Wght: 0.42
Blk#: 514751
Size: 706.2 KB
TXs:  1250
Pool: 41 (0.0 MB)
#bitcoin",Neutral
Detect the sentiment of the tweet.,Current price of Bitcoin is $8650.00 #Bitcoin #Bithound,Neutral
Detect the sentiment of the tweet.,New #bitcoin block 00000000000000000026d81defd2989c8d311898a4a4029d62fdcea219e3347e mined at height 514751.,Positive
Detect the sentiment of the tweet.,Beanie Babies are the next Bitcoin don’t @ me,Neutral
Detect the sentiment of the tweet.,BITCOIN IS AN ASSHOLE,Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"The #BitcoinPizza would be worth US$85,140,800.00 right now (down -6.16% in the last 24 hours): #Bitcoin",Positive
Detect the sentiment of the tweet.,@ArmyStrang This is literally bitcoin,Neutral
Detect the sentiment of the tweet.,Weeeeeeeeeeeeeeeeeee $BTC #BITCOIN,Neutral
Detect the sentiment of the tweet.,"1 bitcoin = $8450.62 / 6858.945€
1 bitcoin-cash = $975.709 / 791.934€
1 ethereum = $520.671 / 422.602€
#bitcoin #ethereum #bitcoincash",Neutral
Detect the sentiment of the tweet.,No deal room services at this time! #Blockchain #Bitcoin,Neutral
Detect the sentiment of the tweet.,"So this is the plan. Spread some fake news when #bitcoin rises so all the fools sell and we collect
#BTC",Negative
Detect the sentiment of the tweet.,"@Bitdominion @BitcoinDojin @ErikVoorhees There’s going to be bitcoin backed credit cards $mco and others, before you know it",Neutral
Detect the sentiment of the tweet.,#Ilovebitcoin because broken #bitcoin miners are easy to fix,Positive
Detect the sentiment of the tweet.,"@Dunnestar @ProfFaustus If I buy 1 bitcoin per day and HODL, is that useless?",Negative
Detect the sentiment of the tweet.,@ProfFaustus @haseebinc @lopp @naval How many more of your dead friend's @bitcoin are you going to sell?,Positive
Detect the sentiment of the tweet.,Looks like bitcoin is in retrograde again,Neutral
Detect the sentiment of the tweet.,So we're dumping #Bitcoin because @binance (an alt exchange) got a letter from Japanese regulators... Seems legit. BTFD,Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Please remind me never to predict BTC again 🙈she’s sefinately a girl, clearing PMS’ing and pissing me off now .#Bitcoin",Neutral
Detect the sentiment of the tweet.,why dont care about bitcoin can i just broke it ill fix it tomorrow i think,Negative
Detect the sentiment of the tweet.,My bf is playing Tokyo Xanadu now and he just made the excellent point that Yuuki absolutely fucking mined bitcoin out the ass,Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,The NSA Spied on Bitcoin Users – Leaked Documents by Snowden Reveal,Neutral
Detect the sentiment of the tweet.,Volume Spike triggered for $ethusd Interval 1h  #cryptocurrency #trading #bitcoin #crypto #technicalanalysis,Neutral
Detect the sentiment of the tweet.,"Please remind me never to predict BTC again 🙈she’s definitely a girl, clearly PMS’ing and pissing me off now .Time to grow a pair! #Bitcoin",Positive
Detect the sentiment of the tweet.,@CobraBitcoin @Excellion @BitMEXResearch Why do you claim 'BCore altcoin is Bitcoin' on your site?,Neutral
Detect the sentiment of the tweet.,"WHAT ICO'S ARE YOU MOST LOOKING FORWARD TOO

Let me know of some that you are looking at

#Bitcoin #ICO's #ETHEREUM",Positive
Detect the sentiment of the tweet.,"@CRYPTOCURRENC Give responds by cutting taxes and increase spending, currency devalues bitcoin soars",Negative
Detect the sentiment of the tweet.,"Time to start accepting taxes in #bitcoin @Cityofatlanta—you'd be unlocked in no time ;)

#crypto",Positive
Detect the sentiment of the tweet.,"@lucamarra8 @thecryptofam $4M+ worth of XBT - Bitcoin Quanto Futures Contract - long position was liquidated, i.e. the position was lost.",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@Bitcoin This is a great concept for the crypto community,Positive
Detect the sentiment of the tweet.,@patribotics I think you're right about bitcoin.  It's overdue for some guidance anyway.,Positive
Detect the sentiment of the tweet.,"In my heart, I believe bitcoin is ridiculous and that's dandy",Negative
Detect the sentiment of the tweet.,"Headed to the strip club, yo. What part of the G-string do I put the Bitcoin in?",Neutral
Detect the sentiment of the tweet.,@aliasvaughn This may be bitcoin bust which indirectly and directly is involved in Trump/Russia.,Positive
Detect the sentiment of the tweet.,$8.2k #BTC #BITCOIN is enough dip for me STOP selling,Neutral
Detect the sentiment of the tweet.,I would love to see Bitcoin Private listed on koinex. #whatsnextonkoinex,Positive
Detect the sentiment of the tweet.,Breaking News: Binance will be listing WAN( $WAN) soon #cryptocurrency #blockchain #bitcoin #crypto #btc #ico #eth #xrp #trading #CryptoNews,Negative
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,There is so much happening in #crypto We are literally changing the world right now #bitcoinminer #bitcoin #btc #bitcoinsfuture,Positive
Detect the sentiment of the tweet.,@TheNvsibleHand Bitcoin is your gold and litecoin is your dollar. Plain and simple,Negative
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,Bitcoin and all is cool but have you invested in a person that turned out totally worthless.,Negative
Detect the sentiment of the tweet.,"I guess we're going to revisit the $8115 and $8150 pivots.

God help us if they don't hold. $BTC #BTC #Bitcoin",Neutral
Detect the sentiment of the tweet.,"@marchmadness I’d like somebody to check the refs PayPal, Bitcoin, wallet or whatever the hell they use after the game.",Negative
Detect the sentiment of the tweet.,"Optimal tx fee: 0 satoshi per byte. 
BTC : $8399 / €6812 / £5948 @ Block 514751. 
Market Cap: 145.52B USD. #Bitcoin #ビットコイン",Neutral
Detect the sentiment of the tweet.,"@Bitcoin Why have so many attempts to get any kind of significant tx volume on BCash failed?

The Great BCash Failing Debate - A Flatline",Positive
Detect the sentiment of the tweet.,"1 bitcoin = $8451.89 / 6859.976€
1 bitcoin-cash = $972.339 / 789.198€
1 ethereum = $517.33 / 419.89€
#bitcoin #ethereum #bitcoincash",Neutral
Detect the sentiment of the tweet.,Who wants to fork bitcoin? This site is sold to him,Positive
Detect the sentiment of the tweet.,Who is selling bitcoin right now? Is there some negative headline or potential news on the horizon?,Negative
Detect the sentiment of the tweet.,"#MAPS has 1 new tx
(📉 output: 0.00115192 BTC / 9.67 USD)
Final balance: 0.00000000 BTC / 0.00 USD
#donation #bitcoin #cryptopaymon 🦄🗿👍",Positive
Detect the sentiment of the tweet.,Bitcoin value: $8421.92,Neutral
Detect the sentiment of the tweet.,"Trading crypto is a way of transferring money from the impatient to the patient.

#cryptocurrency  #bitcoin",Negative
Detect the sentiment of the tweet.,@The_GetawayGirl @fuzzlime Get sun then put on sun lotion buy bitcoin.,Neutral
Detect the sentiment of the tweet.,What are the mechanisms/methods you usually use for predicting bitcoin value?,Negative
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"I stopped checking crypto prices, and r/bitcoin a while back... is everything back to normal yet or is shit still hitting the fan",Negative
Detect the sentiment of the tweet.,"Fri Mar 23 03:54:01 2018 (17:40)
USD : 8406.46
Wght: 0.42
Blk#: 514752
Size: 1009.1 KB
TXs:  1961
Pool: 44 (0.0 MB)
#bitcoin",Neutral
Detect the sentiment of the tweet.,"Right now i have no idea the price of Bitcoin. Many many hours ago it was 8560. My pediction is 8800, a moderare rally",Positive
Detect the sentiment of the tweet.,How much price of @Bitcoin will go till July? #Bitcoin,Positive
Detect the sentiment of the tweet.,"@bitstein The truth hurts, whatever you call him...he’s talking economics behind bitcoin. He is absolutely right.",Negative
Detect the sentiment of the tweet.,New #bitcoin block 00000000000000000008167a540c3d094befe6c9543e2ece27071ab87641581c mined at height 514752.,Positive
Detect the sentiment of the tweet.,another night staring at a screen instead of sleeping 😌 u feel me? #bitcoin #teamnosleep,Neutral
Detect the sentiment of the tweet.,I know this has to be fake but it’s still hilarious. Bitcoin jokes amuse me because of the this is to stupid to be real but yet,Negative
Detect the sentiment of the tweet.,"@humanifold @Blockstream @shesek Sorry, not interested in bitcoin. There are other better coins.",Negative
Detect the sentiment of the tweet.,"bitcoin: dead 
kinzcash: alive",Negative
Detect the sentiment of the tweet.,@DougKass What about all the bitcoin on the sidelines?,Neutral
Detect the sentiment of the tweet.,@Altcoinbuzzio Bitcoin duh,Negative
Detect the sentiment of the tweet.,@Altcoinbuzzio Bitcoin,Neutral
Detect the sentiment of the tweet.,Where have you been trading most lately? $crypto #bitcoin,Positive
Detect the sentiment of the tweet.,@Altcoinbuzzio Bitcoin,Neutral
Detect the sentiment of the tweet.,Well @Google caused a bear market for crypto. gg everyone. We let a cooperation have the ultimate power over all of us. #bitcoin $BTC,Neutral
Detect the sentiment of the tweet.,@Altcoinbuzzio Bitcoin,Neutral
Detect the sentiment of the tweet.,"@seanhannity Silver and gold, silver and gold #bitcoin",Neutral
Detect the sentiment of the tweet.,@Altcoinbuzzio Bitcoin,Neutral
Detect the sentiment of the tweet.,"[me, hanging out with a bunch of pretentious hipsters]

“So bitcoin, amiright?”",Negative
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@QTRResearch bitcoin is not the same as blockchain. one is a derivative of a system that doesn't need to exist.,Neutral
Detect the sentiment of the tweet.,@Altcoinbuzzio Bitcoin. The obvious king,Neutral
Detect the sentiment of the tweet.,"@aliasvaughn Bitcoin, money laundering, TT, etc. So many to choose from.",Positive
Detect the sentiment of the tweet.,@Altcoinbuzzio Bitcoin/litecoin,Neutral
Detect the sentiment of the tweet.,Bitfury-Backed Bitcoin Miner Secures Canadian Land Deal...,Neutral
Detect the sentiment of the tweet.,"Fri Mar 23 03:56:46 2018 (2:45)
USD : 8416.97
Wght: 0.42
Blk#: 514753
Size: 159.6 KB
TXs:  338
Pool: 55 (0.0 MB)
#bitcoin",Neutral
Detect the sentiment of the tweet.,@cz_binance Bitcoin is crashing! sell Sell SELL!,Neutral
Detect the sentiment of the tweet.,@Altcoinbuzzio Shorting bitcoin until downtrend is confirmed broken (not a joke),Neutral
Detect the sentiment of the tweet.,"@bitcoinyuri @Blockstream Sorry, no longer interested in Bitcoin.",Negative
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"@Altcoinbuzzio Litecoin IMHO short term. Bitcoin is long term. The higher you are, the farther you have to fall.",Positive
Detect the sentiment of the tweet.,New #bitcoin block 0000000000000000005148b477c1afed7f77e76e5cf192d9b5bbb8c1804e1c6f mined at height 514754.,Positive
Detect the sentiment of the tweet.,"Fri Mar 23 03:58:01 2018 (1:15)
USD : 8425.35
Wght: 0.42
Blk#: 514754
Size: 6.3 KB
TXs:  22
Pool: 172 (0.1 MB)
#bitcoin",Neutral
Detect the sentiment of the tweet.,@bittybitbit86 Yeah it’s ridiculous. Even worst case scenario that it gets shut down barely makes a dent in bitcoin future adoption,Negative
Detect the sentiment of the tweet.,it's called bitcoin because it's only worth a lil bit,Positive
Detect the sentiment of the tweet.,@Footy_Cash bitcoin？,Neutral
Detect the sentiment of the tweet.,@APompliano Bitcoin and litecoin will be used. With smart contract and there technology there no limit. ⚡️🚀,Positive
Detect the sentiment of the tweet.,Valores | dolar R$3.3019 | BITCOIN(MCDTBC) R$30498.98000000 | BITCOIN(BLCHAIN) R$27938.63 | LITECOIN(MCDTBC) R$577.10000000,Neutral
Detect the sentiment of the tweet.,@NischalShetty Correction : Bitcoin is backed by math,Neutral
Detect the sentiment of the tweet.,@Altcoinbuzzio If they could have than Bitcoin would of been shut down long time ago !,Negative
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"@DrewPflaum @BITCOlNCASH @BitcoinCashFund @BCHmeetups Sorry, not interested in Bitcoin Cash.",Negative
Detect the sentiment of the tweet.,@Altcoinbuzzio #BITCOIN is KING all day long.,Negative
Detect the sentiment of the tweet.,You can buy 1995 Big Macs with 1 Bitcoin ⬇🍔,Neutral
Detect the sentiment of the tweet.,"Bad news: Bitcoin on the decline.
Current Rate: 8428.81 USD = 1 BTC",Negative
Detect the sentiment of the tweet.,"@ #1, Bitcoin with unit price of $8,451.49, market cap of $143,120,802,387 (44.31%), and 24 hr vol. of $5,441,800,000 (37.52%)",Neutral
Detect the sentiment of the tweet.,"Mar 22, 2018 08:00PM #Bitcoin Price:
USD 8695.66 | EUR 7048.24 | JPY 929250.00",Neutral
Detect the sentiment of the tweet.,"Bitcoin - BTC
Price: $8,444.87
Change in 1h: -2.2%
Market cap: $143,008,485,623.00
Ranking: 1
#Bitcoin #BTC",Neutral
Detect the sentiment of the tweet.,Current BTC Dominance: 44.31% #Bitcoin #Altcoin #Cryptocurrency,Neutral
Detect the sentiment of the tweet.,"Bitcoin:$8444.87
Ethereum:$516.81
Bitcoin Cash:$970.829
Litecoin:$158.655
Ripple:$0.635307
IOTA:$1.27057",Neutral
Detect the sentiment of the tweet.,I wish I could drop acid as hard as the price of Bitcoin.,Negative
Detect the sentiment of the tweet.,"1 bitcoin = $8451.49 / 6859.651€
1 bitcoin-cash = $970.829 / 787.973€
1 ethereum = $516.85 / 419.501€
#bitcoin #ethereum #bitcoincash",Neutral
Detect the sentiment of the tweet.,"Average Bitcoin market price is: USD 8,434.24, EUR 6,841.88",Negative
Detect the sentiment of the tweet.,2018-03-23 03:00 UTC Bitcoin Price: 8422.79 USD,Neutral
Detect the sentiment of the tweet.,"How could bitcoin be affected by a trade war?

The only trade war bitcoin is having right now is with the moon.",Positive
Detect the sentiment of the tweet.,@NischalShetty #Bitcoin is backed by math,Neutral
Detect the sentiment of the tweet.,Cryptopia will be listing ColossusCoinXT ( $COLX) #cryptocurrency #blockchain #bitcoin #crypto #btc #ico #eth #xrp #trading #CryptoNews,Neutral
Detect the sentiment of the tweet.,"1 #BTC (#Bitcoin) quotes:
$8424.70/$8437.59 #Bitstamp
$8430.50/$8439.20 #Kraken
⇢$-7.09/$14.50
$8376.90/$8461.10 #Coinbase
⇢$-60.69/$36.40",Neutral
Detect the sentiment of the tweet.,Top 6 BTC/USD Exchange Orderbooks: Resistance til $8700:$24.2M; Support til $8200:$43.5M $BTC $BTCUSD #bitcoin #orderbook #markets #crypto,Positive
Detect the sentiment of the tweet.,#Bitcoin Price 8419.00 USD via Chain,Neutral
Detect the sentiment of the tweet.,@NoTimeToSearch @cz_binance 😂😂😂people have such a small vision. How can you not see what bitcoin and blockchain technology is capable of.,Negative
Detect the sentiment of the tweet.,#XEM Price is 0.00003329 (-0.00000013) #BTC / 0.279434 (-0.00121) #USD. Market rank is 13. #nem #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#SUB Price is 0.00004690 (-0.00000024) #BTC / 0.393709 (-0.00216) #USD. Market rank is 115. #substratum #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#DASH Price is 0.0471977 (-0.00010940) #BTC / 396.804 (-4.38800) #USD. Market rank is 12. #dash #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#EOS Price is 0.00078357 (+0.00000543) #BTC / 6.58764 (+0.05346) #USD. Market rank is 7. #eos #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,"BTC hourly update
$8443.18    |    -0.0203%📉
$BTC #BTCUSD #Bitcoin",Neutral
Detect the sentiment of the tweet.,#ADA Price is 0.00002267 (+0.00000000) #BTC / 0.190569 (+0.00023) #USD. Market rank is 6. #cardano #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,once bitcoin dominance hits around 50%+ that’s when the market will reverse and get health. calling it rn #ALTSEASONCOMEBAAAACCCCKKKK,Neutral
Detect the sentiment of the tweet.,"Dear @Snowden and @coinbase, Please #STFU. Sincerely, all #Crypto investors. #xrp #ripple #bitcoin #VergeFam #tron #trx",Positive
Detect the sentiment of the tweet.,Bitcoin has inherent value as a decentralized currency but its current valuation is a bubble waiting to burst. #bitcoin,Neutral
Detect the sentiment of the tweet.,"#Bitcoin $8,429.15 v #BitcoinCash $968.57 (BTC/BCH 8.7), Avg Transaction fee for #Bitcoin ~$1.32 v #BitcoinCash ~$0.10 - 2018/03/23 12:00JST",Neutral
Detect the sentiment of the tweet.,Current price of Bitcoin is $8419.00,Neutral
Detect the sentiment of the tweet.,once bitcoin dominance hits around 50%+ that’s when the market will reverse and get healthy. calling it rn #ALTSEASONCOMEBAAAACCCCKKKK,Positive
Detect the sentiment of the tweet.,@benshapiro What are your thoughts on Bitcoin/Litecoin and other crypto currencies?,Negative
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"@ledgerstatus Well said! Bitcoin is still young in financial terms, though growing quickly!",Positive
Detect the sentiment of the tweet.,"Have we hit rock bottom in crypto yet?

#Crypto #Blockchain #Bitcoin",Neutral
Detect the sentiment of the tweet.,Current price of Bitcoin is $8419.00.,Neutral
Detect the sentiment of the tweet.,Current price of #Bitcoin is $8419.00,Neutral
Detect the sentiment of the tweet.,@blackwidowgrl You’re welcome sweetie and lol on bitcoin,Positive
Detect the sentiment of the tweet.,@benshapiro What are you thoughts on Bitcoin/Litecoin and other crypto currencies?,Negative
Detect the sentiment of the tweet.,Good job #bitcoin #BTTC2018,Positive
Detect the sentiment of the tweet.,The price of Bitcoin is $8419.00 right...now. 🕑,Neutral
Detect the sentiment of the tweet.,Current price of Bitcoin is $8419.00 “Like” if thats good for you and “retweet” if thats not good for you #bitcoin #btc #bitcoinprice,Positive
Detect the sentiment of the tweet.,"#Bitcoin is currently tired of going into space and visiting the moon.

Seems like the Earth's core is a new destination. ♨️#BTC $BTC",Negative
Detect the sentiment of the tweet.,"Fri Mar 23 04:03:18 2018 (5:17)
USD : 8407.19
Wght: 0.42
Blk#: 514755
Size: 610.1 KB
TXs:  822
Pool: 83 (0.0 MB)
#bitcoin",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,New #bitcoin block 0000000000000000004c95477f37ba7d0d5501f8476fb07720f81d41ae1c1ced mined at height 514755.,Positive
Detect the sentiment of the tweet.,@TeaPainUSA Bitcoin regs?,Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,BTC $8444.87 Down -$198.43 -2.35% in the last hour #bitcoin #bitsmart,Negative
Detect the sentiment of the tweet.,BITCOIN IS AT 8407.1875,Neutral
Detect the sentiment of the tweet.,"@Cointelegraph Sorry, no longer interested in Bitcoin.",Negative
Detect the sentiment of the tweet.,@gavinandresen Are you at the Satoshi Vision Bitcoin Cash conference?,Neutral
Detect the sentiment of the tweet.,@Bitcoin Let's wait and see if a project supported by censored forum only could have any future.,Neutral
Detect the sentiment of the tweet.,seungri talking about bitcoin,Neutral
Detect the sentiment of the tweet.,@Altcoinbuzzio Bitcoin,Neutral
Detect the sentiment of the tweet.,@maximalistsnews More Bitcoin is More!,Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"THE MOST INNOVATIVE AND LUCRATIVE WAY TO EARN BITCOIN
JOIN BITCLUB NETWORK!!!!",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@Hell_HasCome Buy bitcoin.,Neutral
Detect the sentiment of the tweet.,"help 
I only have $70

I dont want to die

bitcoin addless 
1A5WPUwEBm1sGzpKh4CpT5W2hfKEVcG4hu",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
